#OTUID	taxonomy
ASV7709	k__Fungi;p__Ascomycota
ASV7710	k__;p__;c__;o__;f__;g__;s__
ASV7711	k__;p__;c__;o__;f__;g__;s__
ASV7712	k__;p__;c__;o__;f__;g__;s__
ASV7714	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium mali
ASV7715	k__;p__;c__;o__;f__;g__;s__
ASV7716	k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes;o__Basidiobolales;f__Basidiobolaceae;g__Basidiobolus;s__Basidiobolus ranarum
ASV7717	k__;p__;c__;o__;f__;g__;s__
ASV7718	k__;p__;c__;o__;f__;g__;s__
ASV7719	k__;p__;c__;o__;f__;g__;s__
ASV7720	k__;p__;c__;o__;f__;g__;s__
ASV7721	k__;p__;c__;o__;f__;g__;s__
ASV7722	k__;p__;c__;o__;f__;g__;s__
ASV7726	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae
ASV7728	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV7731	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV7733	k__Fungi;p__;c__;o__;f__;g__;s__
ASV7735	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV7736	k__;p__;c__;o__;f__;g__;s__
ASV7738	k__;p__;c__;o__;f__;g__;s__
ASV7739	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV7740	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV7742	k__;p__;c__;o__;f__;g__;s__
ASV7743	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudotricharina
ASV7744	k__Rhizaria;p__Haplosporidia
ASV7745	k__Fungi;p__Ascomycota;c__Dothideomycetes
ASV7746	k__;p__;c__;o__;f__;g__;s__
ASV7747	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Pestalotiopsidaceae;g__Pestalotiopsis
ASV7748	k__;p__;c__;o__;f__;g__;s__
ASV7750	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Westerdykella;s__Westerdykella centenaria
ASV7751	k__;p__;c__;o__;f__;g__;s__
ASV7752	k__;p__;c__;o__;f__;g__;s__
ASV7753	k__;p__;c__;o__;f__;g__;s__
ASV7755	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora
ASV7756	k__Fungi;p__Ascomycota
ASV7757	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia
ASV7758	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Phoma;s__Phoma puncteliae
ASV7759	k__;p__;c__;o__;f__;g__;s__
ASV7761	k__Fungi;p__Ascomycota
ASV7762	k__Fungi;p__Basidiomycota;c__Tremellomycetes
ASV7763	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora
ASV7764	k__;p__;c__;o__;f__;g__;s__
ASV7766	k__;p__;c__;o__;f__;g__;s__
ASV7767	k__;p__;c__;o__;f__;g__;s__
ASV7768	k__;p__;c__;o__;f__;g__;s__
ASV7769	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium brunneosporum
ASV7770	k__;p__;c__;o__;f__;g__;s__
ASV7771	k__;p__;c__;o__;f__;g__;s__
ASV7772	k__;p__;c__;o__;f__;g__;s__
ASV7773	k__;p__;c__;o__;f__;g__;s__
ASV7774	k__;p__;c__;o__;f__;g__;s__
ASV7778	k__;p__;c__;o__;f__;g__;s__
ASV7779	k__;p__;c__;o__;f__;g__;s__
ASV7780	k__;p__;c__;o__;f__;g__;s__
ASV7782	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV7783	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia
ASV7785	k__;p__;c__;o__;f__;g__;s__
ASV7786	k__;p__;c__;o__;f__;g__;s__
ASV7787	k__;p__;c__;o__;f__;g__;s__
ASV7789	k__;p__;c__;o__;f__;g__;s__
ASV7791	k__;p__;c__;o__;f__;g__;s__
ASV7798	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV7799	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
ASV7800	k__;p__;c__;o__;f__;g__;s__
ASV7801	k__;p__;c__;o__;f__;g__;s__
ASV7802	k__;p__;c__;o__;f__;g__;s__
ASV7803	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV7804	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV7805	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Teratosphaeria
ASV7806	k__;p__;c__;o__;f__;g__;s__
ASV7807	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma
ASV7809	k__;p__;c__;o__;f__;g__;s__
ASV7810	k__;p__;c__;o__;f__;g__;s__
ASV7811	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales
ASV7813	k__;p__;c__;o__;f__;g__;s__
ASV7817	k__;p__;c__;o__;f__;g__;s__
ASV7818	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV7821	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV7822	k__;p__;c__;o__;f__;g__;s__
ASV7823	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV7824	k__;p__;c__;o__;f__;g__;s__
ASV7825	k__;p__;c__;o__;f__;g__;s__
ASV7826	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV7827	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Verrucaria;s__Verrucaria ceuthocarpa
ASV7828	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae
ASV7829	k__Rhizaria;p__Cercozoa
ASV7831	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Neocucurbitaria
ASV7832	k__;p__;c__;o__;f__;g__;s__
ASV7833	k__;p__;c__;o__;f__;g__;s__
ASV7834	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV7835	k__;p__;c__;o__;f__;g__;s__
ASV7836	k__;p__;c__;o__;f__;g__;s__
ASV7837	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora;s__Sclerostagonospora cycadis
ASV7838	k__;p__;c__;o__;f__;g__;s__
ASV7840	k__;p__;c__;o__;f__;g__;s__
ASV7841	k__;p__;c__;o__;f__;g__;s__
ASV7843	k__;p__;c__;o__;f__;g__;s__
ASV7845	k__;p__;c__;o__;f__;g__;s__
ASV7846	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__;f__Buckleyzymaceae;g__Buckleyzyma;s__Buckleyzyma aurantiaca
ASV7848	k__Fungi;p__Ascomycota
ASV7849	k__;p__;c__;o__;f__;g__;s__
ASV7850	k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes;o__Basidiobolales;f__Basidiobolaceae;g__Basidiobolus;s__Basidiobolus ranarum
ASV7851	k__;p__;c__;o__;f__;g__;s__
ASV7852	k__;p__;c__;o__;f__;g__;s__
ASV7854	k__Fungi;p__Ascomycota
ASV7855	k__;p__;c__;o__;f__;g__;s__
ASV7856	k__;p__;c__;o__;f__;g__;s__
ASV7857	k__;p__;c__;o__;f__;g__;s__
ASV7859	k__;p__;c__;o__;f__;g__;s__
ASV7860	k__;p__;c__;o__;f__;g__;s__
ASV7861	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Devriesia
ASV7862	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Sirobasidiaceae
ASV7863	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala xenobiotica
ASV7864	k__Fungi;p__Ascomycota;c__Sordariomycetes
ASV7866	k__;p__;c__;o__;f__;g__;s__
ASV7867	k__Fungi;p__Ascomycota
ASV7868	k__Fungi;p__Ascomycota;c__Arthoniomycetes
ASV7869	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV7870	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium
ASV7872	k__Fungi;p__;c__;o__;f__;g__;s__
ASV7873	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae
ASV7874	k__Fungi;p__Ascomycota
ASV7875	k__;p__;c__;o__;f__;g__;s__
ASV7876	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium pulvericola
ASV7877	k__;p__;c__;o__;f__;g__;s__
ASV7880	k__;p__;c__;o__;f__;g__;s__
ASV7882	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV7884	k__;p__;c__;o__;f__;g__;s__
ASV7887	k__;p__;c__;o__;f__;g__;s__
ASV7888	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales
ASV7890	k__;p__;c__;o__;f__;g__;s__
ASV7891	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV7892	k__;p__;c__;o__;f__;g__;s__
ASV7893	k__;p__;c__;o__;f__;g__;s__
ASV7895	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia
ASV7896	k__Fungi;p__Ascomycota
ASV7897	k__;p__;c__;o__;f__;g__;s__
ASV7898	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium desertorum
ASV7899	k__Fungi;p__Ascomycota
ASV7900	k__;p__;c__;o__;f__;g__;s__
ASV7901	k__;p__;c__;o__;f__;g__;s__
ASV7902	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV7903	k__;p__;c__;o__;f__;g__;s__
ASV7906	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Pleurotheciales;f__Pleurotheciaceae;g__Phaeoisaria
ASV7909	k__;p__;c__;o__;f__;g__;s__
ASV7910	k__;p__;c__;o__;f__;g__;s__
ASV7911	k__;p__;c__;o__;f__;g__;s__
ASV7912	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces
ASV7913	k__;p__;c__;o__;f__;g__;s__
ASV7915	k__;p__;c__;o__;f__;g__;s__
ASV7916	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
ASV7917	k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Protomycetaceae;g__Saitoella;s__Saitoella coloradoensis
ASV7919	k__;p__;c__;o__;f__;g__;s__
ASV7920	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Bullera
ASV7921	k__;p__;c__;o__;f__;g__;s__
ASV7923	k__;p__;c__;o__;f__;g__;s__
ASV7924	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV7926	k__Fungi;p__Ascomycota
ASV7928	k__;p__;c__;o__;f__;g__;s__
ASV7929	k__;p__;c__;o__;f__;g__;s__
ASV7931	k__;p__;c__;o__;f__;g__;s__
ASV7932	k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae
ASV7933	k__;p__;c__;o__;f__;g__;s__
ASV7934	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV7935	k__;p__;c__;o__;f__;g__;s__
ASV7936	k__;p__;c__;o__;f__;g__;s__
ASV7937	k__;p__;c__;o__;f__;g__;s__
ASV7938	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Acrophialophora;s__Acrophialophora levis
ASV7942	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__;f__;g__Oncopodiella;s__Oncopodiella trigonella
ASV7943	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
ASV7944	k__;p__;c__;o__;f__;g__;s__
ASV7945	k__;p__;c__;o__;f__;g__;s__
ASV7946	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV7947	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV7948	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Toxicocladosporium;s__Toxicocladosporium cacti
ASV7950	k__;p__;c__;o__;f__;g__;s__
ASV7951	k__;p__;c__;o__;f__;g__;s__
ASV7952	k__;p__;c__;o__;f__;g__;s__
ASV7953	k__;p__;c__;o__;f__;g__;s__
ASV7954	k__;p__;c__;o__;f__;g__;s__
ASV7955	k__;p__;c__;o__;f__;g__;s__
ASV7956	k__;p__;c__;o__;f__;g__;s__
ASV7957	k__Choanoflagellozoa;p__Choanoflagellata;c__;o__Choanoflagellida
ASV7958	k__;p__;c__;o__;f__;g__;s__
ASV7959	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Carbonea;s__Carbonea vorticosa
ASV7961	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium ambrosium
ASV7962	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Wiesneriomycetaceae;g__Spissiomyces
ASV7963	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;s__Knufia marmoricola
ASV7965	k__;p__;c__;o__;f__;g__;s__
ASV7966	k__Fungi;p__Ascomycota
ASV7967	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium
ASV7968	k__;p__;c__;o__;f__;g__;s__
ASV7969	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV7970	k__Fungi;p__Ascomycota;c__Lecanoromycetes
ASV7971	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
ASV7972	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Ramalinaceae;g__Bacidina;s__Bacidina ramea
ASV7973	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Leptosphaerulina
ASV7974	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Macroventuria;s__Macroventuria wentii
ASV7976	k__;p__;c__;o__;f__;g__;s__
ASV7978	k__;p__;c__;o__;f__;g__;s__
ASV7980	k__;p__;c__;o__;f__;g__;s__
ASV7982	k__;p__;c__;o__;f__;g__;s__
ASV7983	k__;p__;c__;o__;f__;g__;s__
ASV7985	k__;p__;c__;o__;f__;g__;s__
ASV7987	k__;p__;c__;o__;f__;g__;s__
ASV7989	k__Fungi;p__;c__;o__;f__;g__;s__
ASV7991	k__;p__;c__;o__;f__;g__;s__
ASV7994	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Camarosporidiellaceae;g__Camarosporidiella
ASV7995	k__;p__;c__;o__;f__;g__;s__
ASV7997	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
ASV7999	k__;p__;c__;o__;f__;g__;s__
ASV8000	k__;p__;c__;o__;f__;g__;s__
ASV8001	k__;p__;c__;o__;f__;g__;s__
ASV8002	k__;p__;c__;o__;f__;g__;s__
ASV8006	k__;p__;c__;o__;f__;g__;s__
ASV8007	k__Fungi;p__Ascomycota
ASV8008	k__;p__;c__;o__;f__;g__;s__
ASV8015	k__;p__;c__;o__;f__;g__;s__
ASV8017	k__;p__;c__;o__;f__;g__;s__
ASV8018	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudotricharina
ASV8019	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudotricharina
ASV8020	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales
ASV8022	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Monocillium
ASV8023	k__;p__;c__;o__;f__;g__;s__
ASV8025	k__;p__;c__;o__;f__;g__;s__
ASV8026	k__;p__;c__;o__;f__;g__;s__
ASV8027	k__;p__;c__;o__;f__;g__;s__
ASV8029	k__;p__;c__;o__;f__;g__;s__
ASV8030	k__;p__;c__;o__;f__;g__;s__
ASV8032	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV8033	k__;p__;c__;o__;f__;g__;s__
ASV8034	k__;p__;c__;o__;f__;g__;s__
ASV8035	k__;p__;c__;o__;f__;g__;s__
ASV8037	k__;p__;c__;o__;f__;g__;s__
ASV8038	k__;p__;c__;o__;f__;g__;s__
ASV8039	k__;p__;c__;o__;f__;g__;s__
ASV8040	k__;p__;c__;o__;f__;g__;s__
ASV8041	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Cystobasidium;s__Cystobasidium ritchiei
ASV8045	k__Fungi;p__Ascomycota
ASV8046	k__;p__;c__;o__;f__;g__;s__
ASV8047	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Hazslinszkyomyces
ASV8048	k__Fungi;p__;c__;o__;f__;g__;s__
ASV8049	k__;p__;c__;o__;f__;g__;s__
ASV8050	k__;p__;c__;o__;f__;g__;s__
ASV8051	k__Fungi;p__Ascomycota
ASV8052	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria chlamydosporigena
ASV8053	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae
ASV8054	k__;p__;c__;o__;f__;g__;s__
ASV8055	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces
ASV8057	k__;p__;c__;o__;f__;g__;s__
ASV8058	k__;p__;c__;o__;f__;g__;s__
ASV8059	k__;p__;c__;o__;f__;g__;s__
ASV8060	k__;p__;c__;o__;f__;g__;s__
ASV8061	k__;p__;c__;o__;f__;g__;s__
ASV8062	k__;p__;c__;o__;f__;g__;s__
ASV8064	k__;p__;c__;o__;f__;g__;s__
ASV8065	k__;p__;c__;o__;f__;g__;s__
ASV8066	k__;p__;c__;o__;f__;g__;s__
ASV8069	k__;p__;c__;o__;f__;g__;s__
ASV8070	k__;p__;c__;o__;f__;g__;s__
ASV8071	k__;p__;c__;o__;f__;g__;s__
ASV8074	k__Fungi;p__Ascomycota
ASV8075	k__;p__;c__;o__;f__;g__;s__
ASV8079	k__;p__;c__;o__;f__;g__;s__
ASV8080	k__;p__;c__;o__;f__;g__;s__
ASV8081	k__Fungi;p__Basidiomycota
ASV8083	k__;p__;c__;o__;f__;g__;s__
ASV8084	k__Fungi;p__Ascomycota
ASV8085	k__;p__;c__;o__;f__;g__;s__
ASV8086	k__;p__;c__;o__;f__;g__;s__
ASV8088	k__;p__;c__;o__;f__;g__;s__
ASV8089	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Neocatenulostroma;s__Neocatenulostroma microsporum
ASV8090	k__;p__;c__;o__;f__;g__;s__
ASV8092	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Geotrichum;s__Geotrichum candidum
ASV8093	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Neocucurbitaria;s__Neocucurbitaria keratinophila
ASV8095	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia
ASV8097	k__;p__;c__;o__;f__;g__;s__
ASV8099	k__;p__;c__;o__;f__;g__;s__
ASV8100	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae
ASV8102	k__;p__;c__;o__;f__;g__;s__
ASV8104	k__;p__;c__;o__;f__;g__;s__
ASV8107	k__;p__;c__;o__;f__;g__;s__
ASV8108	k__;p__;c__;o__;f__;g__;s__
ASV8109	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV8110	k__;p__;c__;o__;f__;g__;s__
ASV8111	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae
ASV8113	k__;p__;c__;o__;f__;g__;s__
ASV8114	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV8116	k__Fungi;p__Ascomycota;c__Dothideomycetes
ASV8117	k__;p__;c__;o__;f__;g__;s__
ASV8118	k__;p__;c__;o__;f__;g__;s__
ASV8119	k__;p__;c__;o__;f__;g__;s__
ASV8120	k__;p__;c__;o__;f__;g__;s__
ASV8121	k__Fungi;p__;c__;o__;f__;g__;s__
ASV8122	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia
ASV8123	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora
ASV8126	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Mycocaliciales;f__;g__Oosporidium;s__Oosporidium margaritiferum
ASV8127	k__;p__;c__;o__;f__;g__;s__
ASV8129	k__;p__;c__;o__;f__;g__;s__
ASV8130	k__;p__;c__;o__;f__;g__;s__
ASV8131	k__;p__;c__;o__;f__;g__;s__
ASV8132	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Podosporaceae
ASV8133	k__;p__;c__;o__;f__;g__;s__
ASV8134	k__;p__;c__;o__;f__;g__;s__
ASV8135	k__;p__;c__;o__;f__;g__;s__
ASV8136	k__;p__;c__;o__;f__;g__;s__
ASV8137	k__;p__;c__;o__;f__;g__;s__
ASV8138	k__Fungi;p__Basidiomycota
ASV8139	k__;p__;c__;o__;f__;g__;s__
ASV8142	k__;p__;c__;o__;f__;g__;s__
ASV8143	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Lapidomyces;s__Lapidomyces stipagrostidicola
ASV8144	k__Fungi;p__Ascomycota
ASV8147	k__;p__;c__;o__;f__;g__;s__
ASV8148	k__Fungi;p__Basidiobolomycota;c__Basidiobolomycetes;o__Basidiobolales;f__Basidiobolaceae;g__Basidiobolus;s__Basidiobolus ranarum
ASV8152	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
ASV8155	k__;p__;c__;o__;f__;g__;s__
ASV8156	k__;p__;c__;o__;f__;g__;s__
ASV8157	k__;p__;c__;o__;f__;g__;s__
ASV8158	k__;p__;c__;o__;f__;g__;s__
ASV8159	k__;p__;c__;o__;f__;g__;s__
ASV8161	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Comoclathris;s__Comoclathris rosigena
ASV8162	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia
ASV8164	k__;p__;c__;o__;f__;g__;s__
ASV8166	k__;p__;c__;o__;f__;g__;s__
ASV8167	k__;p__;c__;o__;f__;g__;s__
ASV8168	k__;p__;c__;o__;f__;g__;s__
ASV8169	k__;p__;c__;o__;f__;g__;s__
ASV8170	k__;p__;c__;o__;f__;g__;s__
ASV8171	k__;p__;c__;o__;f__;g__;s__
ASV8173	k__;p__;c__;o__;f__;g__;s__
ASV8174	k__;p__;c__;o__;f__;g__;s__
ASV8175	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia muriae
ASV8177	k__;p__;c__;o__;f__;g__;s__
ASV8180	k__Fungi;p__;c__;o__;f__;g__;s__
ASV8182	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Acarosporales;f__Acarosporaceae
ASV8183	k__;p__;c__;o__;f__;g__;s__
ASV8184	k__;p__;c__;o__;f__;g__;s__
ASV8185	k__;p__;c__;o__;f__;g__;s__
ASV8186	k__;p__;c__;o__;f__;g__;s__
ASV8187	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Extremaceae;g__Petrophila
ASV8189	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita exitialis
ASV8191	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV8192	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae
ASV8193	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Acarosporales;f__Acarosporaceae
ASV8194	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Nothophoma;s__Nothophoma gossypiicola
ASV8195	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Byssochlamys
ASV8196	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecideales;f__Lecideaceae;g__Lecidea;s__Lecidea cancriformis
ASV8197	k__;p__;c__;o__;f__;g__;s__
ASV8200	k__;p__;c__;o__;f__;g__;s__
